district_code,idi_slope,idi_slope_se,n_obs,n_piped
460.0,0.0034,0.0037,747,213
461.0,0.0117,0.0032,820,428
462.0,-0.013,0.0046,899,204
463.0,0.0103,0.0044,629,217
464.0,-0.0066,0.0032,825,418
465.0,0.0048,0.0026,880,459
466.0,0.0018,0.0042,437,248
467.0,0.0028,0.0047,910,812
867.0,0.0058,0.0034,584,279
868.0,0.0042,0.0027,859,448
468.0,0.0218,0.0064,821,601
469.0,0.0053,0.003,847,674
470.0,-0.0051,0.0041,893,819
471.0,0.0124,0.0037,808,674
473.0,0.0111,0.005,852,740
478.0,0.0234,0.0043,861,756
480.0,0.0305,0.0037,827,553
482.0,0.0059,0.0041,859,606
485.0,0.0003,0.0041,782,242
487.0,0.0032,0.0035,862,442
488.0,0.0006,0.0033,734,485
489.0,0.0036,0.0036,777,324
490.0,0.004,0.0034,790,372
491.0,0.0032,0.0058,779,249
492.0,0.0195,0.0061,862,664
493.0,0.0195,0.0063,862,446
848.0,-0.0131,0.0074,892,861
849.0,0.0089,0.0029,874,482
850.0,0.012,0.003,831,638
851.0,0.0176,0.0037,856,680
852.0,-0.0,0.0033,854,368
853.0,0.0137,0.0042,869,772
854.0,0.0074,0.0039,877,754
855.0,-0.0016,0.0043,900,815
856.0,0.0157,0.0041,824,724
857.0,-0.0011,0.0031,866,654
858.0,0.0062,0.0031,843,369
859.0,0.0046,0.0057,791,570
860.0,0.0201,0.0047,811,479
861.0,0.0199,0.0052,858,740
862.0,0.0234,0.0039,799,576
863.0,0.002,0.0038,809,681
864.0,0.0071,0.0053,832,712
494.0,0.0354,0.0076,900,810
495.0,0.001,0.0092,520,302
496.0,0.0042,0.0059,760,388
497.0,0.0252,0.0034,814,479
498.0,0.0148,0.0038,711,589
499.0,0.0045,0.0035,801,667
500.0,0.0209,0.0032,830,618
501.0,0.0195,0.0031,885,728
502.0,0.0096,0.0026,703,421
503.0,0.0143,0.0049,873,815
504.0,0.0131,0.0037,884,739
505.0,-0.0006,0.0058,908,863
506.0,0.0084,0.0031,847,537
