district_code,district_name,state_name,disruption_rate_pct,piped_water_coverage_pct,reliability_gap,mean_wvi_score,mean_cci_score,mean_idi_score,district_typology,n_households,total_weighted_pop
516.0,Nashik,Maharashtra,51.94199172780757,80.96129024317182,31.524051372613936,39.26495969528824,59.70344338540467,5.591781546427332,High Coverage High Disruption (Reliability Gap),797,2748.6181189999998
522.0,Ahmadnagar,Maharashtra,53.32097475615319,71.64100856705713,31.07785448910465,39.42435627868324,61.68979695526006,4.949517297627279,High Coverage High Disruption (Reliability Gap),765,2100.276293
872.0,East Jantia Hills,Meghalaya,49.94334309169298,64.43046689506158,31.070952638760318,54.704943115542115,50.67763376623835,4.480319679845473,High Coverage High Disruption (Reliability Gap),432,27.386774999999997
639.0,North & Middle Andaman,Andaman & Nicobar Islands,53.54160361290482,93.87958316756311,30.442708662092823,36.49705699516768,55.8259830403228,5.815803376368293,High Coverage High Disruption (Reliability Gap),820,60.57330900000001
855.0,Jamnagar,Gujarat,53.467681390698566,91.22680882030873,29.481257941432805,30.516502584462934,70.17984543710148,6.093859914472113,High Coverage High Disruption (Reliability Gap),900,673.4750649999999
298.0,East Khasi Hills,Meghalaya,48.411986690748115,82.02462844913107,29.358035757260087,38.51669410430734,52.89724070678665,5.8463439869351275,High Coverage High Disruption (Reliability Gap),782,369.29438600000003
515.0,Aurangabad,Maharashtra,50.87579788191523,75.86381637448312,29.26812542598095,33.60196843838715,62.68500674304891,5.799658874299356,High Coverage High Disruption (Reliability Gap),711,1510.642555
877.0,West Jaintia Hills,Meghalaya,46.171513071011375,63.330024111168306,28.936476930773956,53.23710387722783,48.73686301977764,4.605830153733913,High Coverage High Disruption (Reliability Gap),436,56.06654900000001
638.0,Nicobars,Andaman & Nicobar Islands,50.45182119074143,95.15780769840961,28.50199839098566,42.302806950501534,54.79802737009848,5.836863710491873,High Coverage High Disruption (Reliability Gap),499,9.341306
526.0,Solapur,Maharashtra,47.994846315513485,70.31782820931811,28.380767065661722,42.26999274631034,55.54782157622354,4.891611977544045,High Coverage High Disruption (Reliability Gap),788,1984.416397
524.0,Latur,Maharashtra,47.99912201536713,55.956957108166186,27.873873515416328,44.290018857598696,53.682570825925815,4.257302052530356,Low Coverage High Disruption (Traditional Vulnerability),793,969.8392979999999
498.0,Dhule,Maharashtra,47.764936647146484,82.48638870748263,26.95409009339121,42.35788359813492,58.586313207935895,5.540683934492169,High Coverage High Disruption (Reliability Gap),711,883.181923
503.0,Amravati,Maharashtra,49.01457148239835,93.28415662176724,26.93500649490127,37.778570012643485,62.17699718752907,6.276621799196119,High Coverage High Disruption (Reliability Gap),873,1508.0613899999998
809.0,West Siang,Arunachal Pradesh,47.61758384134748,98.22498670010532,26.89863450428561,40.35570462714027,59.78108247221687,6.31186593247848,High Coverage High Disruption (Reliability Gap),943,44.509751
270.0,Kohima,Nagaland,46.70514041814769,69.76345621267438,26.64020342971284,34.36590417770297,57.683583538943935,5.310724944467781,High Coverage High Disruption (Reliability Gap),693,88.243366
567.0,Davanagere,Karnataka,48.11038202465996,84.07633734374268,26.60959504659186,35.367468276472096,57.652577327915736,5.985718743009791,High Coverage High Disruption (Reliability Gap),730,875.6847530000001
525.0,Osmanabad,Maharashtra,46.445591669986385,59.226398848331286,26.600986731723612,46.52527319641421,51.18236689151588,3.9846420570633394,High Coverage High Disruption (Reliability Gap),784,702.960484
558.0,Bidar,Karnataka,45.288265865667675,56.52526067866268,26.121209872852354,43.89796335888702,49.433022238127094,4.056613746338615,Low Coverage High Disruption (Traditional Vulnerability),859,812.718129
514.0,Jalna,Maharashtra,46.21047312451026,64.70714506376405,26.113704868562223,43.36084597605461,56.42680690780431,4.768201908842148,High Coverage High Disruption (Reliability Gap),675,826.680824
909.0,Vikarabad,Telangana,45.707828713277436,81.21100653585147,25.636040512108295,43.68821763063274,48.77475828153128,5.242016913149168,High Coverage High Disruption (Reliability Gap),787,417.41049699999996
628.0,Tirunelveli,Tamil Nadu,46.8787678561715,94.58439085871258,25.09427160945397,31.900223616948647,55.49850012765281,6.564462816019692,High Coverage High Disruption (Reliability Gap),838,2045.2810959999997
513.0,Parbhani,Maharashtra,42.905582721884144,43.95382629078256,24.18022764858798,45.873392988189394,52.019241371823355,3.852741069886646,Low Coverage High Disruption (Traditional Vulnerability),742,787.0147019999999
850.0,Bhavnagar,Gujarat,44.74861719104476,77.95280686637643,23.488810834893265,37.164525298964676,61.95223467620163,5.5039989673769565,High Coverage High Disruption (Reliability Gap),831,1064.194728
897.0,Medak,Telangana,42.55856068251477,69.21195746343506,23.43069187824574,48.293646393767645,45.72384817139267,4.763750110153292,High Coverage High Disruption (Reliability Gap),631,282.186303
565.0,Bellary,Karnataka,43.60263407156678,76.08133071841608,23.397393074793158,39.005531041558214,55.69412010323976,5.785623874471569,High Coverage High Disruption (Reliability Gap),808,1151.2608989999999
559.0,Raichur,Karnataka,42.73696375815679,84.75371867407885,23.335119541025133,43.050726921437,53.53174517715832,5.720244742743719,High Coverage High Disruption (Reliability Gap),759,841.102281
